 ,r,g,b
0,0.14690573681779304,0.099239903498085,0.026632673582640057
1,0.5107300481261925,0.3366681405406757,0.10744236529219069
2,0.14395694955814037,0.19637649415852204,0.10130609910718233
3,0.10878401281242756,0.1343274312440603,0.03431791734639905
4,0.24336506681813727,0.2339138552571619,0.12056662188254326
5,0.2388566841502582,0.4334988901715115,0.17702858013458594
6,0.5527414213764271,0.29070750213897045,0.040712615644135516
7,0.09772209390995926,0.1265109847050637,0.09677383895232927
8,0.4717389434272055,0.1727355945365386,0.04653028341640341
9,0.10737372782643695,0.06406544972660315,0.03423317662515527
10,0.32856171954564695,0.4449417513931796,0.08260277374985071
11,0.5950857549370302,0.4121978362544268,0.05731168544359179
12,0.043527043761715116,0.06745724819924137,0.06605793147741781
13,0.12773024833329963,0.25196848157633905,0.06871270494533967
14,0.39070000801231747,0.11361880411668698,0.026241576969454845
15,0.7155722611005141,0.606335904411555,0.09269193004557814
16,0.46158707824105166,0.18983898440276384,0.08166520469992987
17,0.08072612284057101,0.2064308660089046,0.13204553213990017
18,0.9085289939415444,0.9327133182970153,0.33529590065570514
19,0.5886724515921015,0.6139499332265569,0.22195841222133952
20,0.36501311394936614,0.3820338125912983,0.13822605834955917
21,0.18470582891760026,0.19513789842294066,0.07066139263270019
22,0.08687236173033935,0.09254002634590246,0.03344464022776991
23,0.032032339870754344,0.03237343432819533,0.011880604650982281
